Indication_ID,Indication_Name
422,Cold sores
423,Colic
424,Colitis
425,Colonopathies
426,Colonoscopy
427,Colonoscopy preparation
428,Colorectal cancer
429,Common cold
430,Community-acquired pneumonia
431,Complicated and recurrent urinary tract infections
432,Complicated skin and skin structure infections
433,Complicated UTI
434,Condylomata acuminata
435,Congenital adrenal hyperplasia
436,Congenital icthyosis
437,Congestion
438,Congestive heart failure
439,Conjunctival decongestant
440,Conjunctivitis
441,Conjunctivitis; blepharitis and blepharoconjunctivitis
442,Constipation
443,Constipation and bowel irregularity
444,Contact dermatitis
445,Contraception
446,Conversion of atrial fibrillation/flutter
447,COPD
448,Cornea transplant surgery
449,Corneal anesthesia
450,Corneal protection
451,Corneal ulcer
452,Corns
453,Corns and calluses
454,Coronary artery disease
455,Cortical myoclonus
456,Corticosteriod responsive dermatoses with secondary infection
457,Corticosteriod-responsive dermatoses
458,Cough
459,Cough and common cold
460,Cough and runny nose
461,Cracked and itchy skin
462,Cracked feet
463,Crohn’s disease
464,Crural ulcer
465,Cryptitis
466,Cryptococcal meningitis
467,Cryptococcosis
468,Cryptorchidism
469,Cryptosporidiosis
470,Curvature
471,Cushing's and Nelson's syndrome
472,Cushing's disease
473,Cutaneous albinism
474,Cutaneous candidiasis
475,Cutaneous candidiasis and pityriasis versicolor
476,Cutaneous T-cell lymphoma
477,Cutaneous or mucocutaneous mycotic infections
478,Cuteneous candidiasis with superficial bacterial infection
479,Cuts
480,CVD
481,Cyanide poisoning
482,Cyanosis
483,Cyclical mastalgia
484,Cyclitis
485,Cycloplegia
486,Cystic fibrosis
487,Cystitis
488,Cystoid macular oedema
489,Cytomegaloviral infections
490,Cytomegalovirus (CMV) retinitis
491,Daily multivitamin maintenance
492,Dandruff
493,Darier's disease
494,Decubitus or stasis ulcers
495,Deep anesthesia as in cataract extraction
496,Deep tissue candida infections
497,Deep vein thrombosis
498,Deficient protein metabolism
499,Degenerative diseases
500,Degenerative joint disease
501,Dehydration
502,Delay imminent pre-term birth
503,Delayed puberty
504,Delirium
505,Dementia
506,Dementia in alzheimer's disease
507,Dental abscess
508,Dental bleeding
509,Dental caries
510,Dental cavity
511,Dental hypersensitivity
512,Dental infections
513,Dental infiltration anesthesia
514,Dental nerve block
515,Dental pain
516,Dental plaque
517,Dental surgery
518,Denture sores
519,Denture stomatitis
520,Dentures
521,Depression
522,Dermatitis
523,Dermatitis herpetiformis
524,Dermatitis Solaris
525,Dermatofibro sarcoma protuberans
526,Dermatomycoses
527,Dermatomyositis
528,Dermatophytosis
529,Developed to treat the muscle rigidity
530,Development and proper functioning of their vital organs
531,Diabetes insipidus
532,Diabetes mellitus
533,Diabetic angiopathy
534,Diabetic coma
535,Diabetic foot infections
536,Diabetic foot ulcer
537,Diabetic gastric stasis
538,Diabetic ketoacidosis
539,Diabetic macular edema
540,Diabetic nephropathy
541,Diabetic neuropathy
542,Diabetic ulcers
543,Diagnostic ophthalmic procedures
544,Diagnostic procedures
545,Dialysis
546,Diaper rash
547,Diarrhoea
548,Dietary supplement for infants
549,Dietary supplements
550,Dietary supplements (Vitamin deficiencies)
551,Different skin problems (e.g.; psoriasis)
552,Diffuse scleroderma
553,Dilatation of pupil
554,Diluting or dissolving drugs
555,Diphtheria
556,Direct acting antiviral agent (DAA) against the hepatitis C virus
557,Discomfort of the eye
558,Disinfection
559,Disinfection of the skin and hand
560,Disseminated candidiasis
561,Dissolution of cholesterol rich gallstones
562,Disturbed biorhythms
563,Diverticular diseases
564,Diverticulitis
565,Dizziness
566,Down Syndrome
567,Dracunculiasis
568,Drug hypersensitivity reactions
569,Drug induced extrapyramidal syndrome
570,Drug induced Myopathy
571,Drug induced photosensitivity
572,Drug overdose
573,Dry cough
