PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
509,1591,100 ml bottle,40.0,Bottle
510,1598,5 ml drop,130.0,Drop
511,1600,15 ml bottle,7.95,Bottle
512,1602,100 ml bottle,80.0,Bottle
513,1606,1 gm vial,190.0,Vial
514,1607,250 mg vial,100.0,Vial
515,1608,500 mg vial,130.0,Vial
516,1609,1 gm vial,190.0,Vial
517,1610,250 mg vial,100.0,Vial
518,1611,500 mg vial,130.0,Vial
519,1612,1 gm vial,240.0,Vial
520,1613,250 mg vial,85.0,Vial
521,1614,500 mg vial,130.0,Vial
522,1618,15 ml bottle,50.0,Bottle
523,1619,100 ml bottle,80.0,Bottle
524,1623,60 ml bottle,30.1,Bottle
525,1626,5 ml drop,96.0,Drop
526,1627,100 ml bottle,50.0,Bottle
527,1629,100 ml bottle,25.0,Bottle
528,1630,200 metered doses,220.0,Inhaler
529,1631,100 ml bottle,30.09,Bottle
530,1634,100 ml bottle,28.0,Bottle
531,1636,200 ml bottle,100.0,Bottle
532,1639,60 ml bottle,14.45,Bottle
533,1640,100 ml bottle,55.0,Bottle
534,1641,100 ml bottle,23.0,Bottle
535,1643,100 ml bottle,45.0,Bottle
536,1651,200 ml bottle,150.0,Bottle
537,1653,2 ml ampoule,23.0,Ampoule
538,1654,100 ml bottle,90.0,Bottle
539,1661,60 ml bottle,18.0,Bottle
540,1686,100 ml bottle,22.92,Bottle
541,1690,200 ml bottle,150.0,Bottle
542,1691,200 ml bottle,250.0,Bottle
543,1711,10 ml drop,70.0,Drop
544,1742,60 ml bottle,20.62,Bottle
545,1746,2.5 ml ampoule,220.0,Ampoule
546,1748,2.5 ml ampoule,80.0,Ampoule
547,1749,15 ml bottle,25.0,Bottle
548,1750,60 ml bottle,30.0,Bottle
549,1752,3 gm tube,70.0,Tube
550,1753,10 ml drop,70.21,Drop
551,1754,1 ml ampoule,2.52,Ampoule
552,1755,1 ml ampoule,5.16,Ampoule
553,1756,1 ml ampoule,5.0,Ampoule
554,1757,1 ml ampoule,5.16,Ampoule
555,1758,3 gm tube,14.05,Tube
556,1759,5 ml drop,25.95,Drop
557,1768,1.2 gm vial,275.0,Vial
558,1769,100 ml bottle,175.0,Bottle
559,1779,10 ml drop,200.0,Drop
560,1782,100 ml bottle,55.72,Bottle
561,1788,120 metered sprays,250.0,Inhaler
562,1789,120 metered sprays,354.0,Inhaler
563,1795,120 metered sprays,275.0,Inhaler
564,1801,3 ml drop,470.0,Drop
565,1802,3 ml drop,500.0,Drop
566,1817,2 ml ampoule,7.55,Ampoule
567,1818,75 ml bottle,25.08,Bottle
568,1823,10 gm tube,48.0,Tube
569,1826,200 ml bottle,50.0,Bottle
570,1828,200 ml bottle,100.3,Bottle
571,1830,200 ml bottle,75.23,Bottle
572,1831,1.2 gm vial,300.0,Vial
573,1832,600 mg vial,150.0,Vial
